YearsExperience,Education,JobRole,Location,Age,Gender,Salary
6,High School,Data Scientist,Austin,50,Male,2704374
20,Bachelor,Software Engineer,New York,60,Other,5888458
18,High School,HR,Remote,44,Male,3907921
20,High School,Data Scientist,San Francisco,23,Male,6026743
11,High School,HR,San Francisco,51,Other,3091913
20,PhD,Software Engineer,Remote,54,Other,6497484
11,Master,Data Scientist,San Francisco,43,Other,4706090
15,PhD,Manager,Austin,36,Male,6310344
14,Bachelor,Manager,New York,24,Male,5191701
8,PhD,Data Scientist,Austin,60,Female,4733246
17,Master,Data Scientist,Remote,25,Other,5359512
8,High School,Analyst,New York,47,Other,2916465
20,Master,HR,Austin,23,Other,5189830
6,Bachelor,Data Scientist,New York,29,Other,3535227
14,Bachelor,Manager,New York,56,Male,5127055
7,High School,Analyst,Austin,25,Female,2388934
1,Master,Software Engineer,Austin,27,Female,2282299
17,Bachelor,Manager,New York,47,Other,5610659
11,Bachelor,HR,San Francisco,55,Male,3619839
15,PhD,Analyst,Austin,36,Other,5532838
7,Bachelor,Manager,New York,35,Male,3649092
17,High School,Manager,Remote,45,Female,4591671
12,High School,Software Engineer,India,50,Other,2408212
2,Master,Software Engineer,Remote,56,Female,2238774
0,PhD,Software Engineer,Austin,26,Male,2871158
6,Bachelor,HR,India,30,Female,1000000
7,PhD,HR,Remote,33,Female,3102083
4,Bachelor,Software Engineer,India,56,Female,1131435
11,High School,Data Scientist,New York,43,Male,3942799
4,Bachelor,Analyst,India,35,Male,1000000
2,PhD,Analyst,India,22,Female,1556624
13,Master,HR,New York,60,Other,4228420
8,High School,HR,Austin,36,Other,2010137
12,Master,Data Scientist,Austin,53,Female,4643914
6,Bachelor,Analyst,New York,53,Other,2771796
6,Master,HR,San Francisco,36,Other,2992394
10,High School,Manager,India,50,Other,2269151
1,Bachelor,Software Engineer,Austin,27,Male,1799825
11,High School,HR,Austin,41,Female,2659707
6,High School,Data Scientist,Austin,54,Female,2746864
0,Bachelor,Data Scientist,San Francisco,48,Other,2477373
8,High School,Data Scientist,Remote,24,Male,2720805
6,Bachelor,Software Engineer,Remote,27,Other,2284483
4,Bachelor,Manager,India,54,Other,1584551
18,PhD,Software Engineer,India,45,Other,5133872
8,Bachelor,Manager,Remote,33,Other,3390405
6,Master,Analyst,India,23,Female,1574168
16,High School,Software Engineer,San Francisco,23,Male,4995741
1,Master,Data Scientist,India,49,Other,1130764
1,Bachelor,HR,San Francisco,47,Male,1580154
5,High School,Data Scientist,San Francisco,53,Male,2873738
16,High School,Manager,New York,59,Other,5166865
4,Bachelor,Manager,Remote,55,Male,2608685
15,Bachelor,HR,India,37,Female,2769045
0,Bachelor,Analyst,Remote,30,Male,1000000
2,High School,Data Scientist,Remote,41,Female,1493371
3,PhD,Analyst,Remote,40,Other,2938751
19,High School,Data Scientist,New York,53,Female,5610548
6,Master,Data Scientist,San Francisco,54,Male,3992801
7,Bachelor,HR,Remote,22,Male,1703031
10,PhD,Software Engineer,Austin,49,Female,4766242
9,Bachelor,Data Scientist,Remote,56,Other,3417718
6,High School,Data Scientist,India,37,Male,1372745
16,High School,Software Engineer,San Francisco,23,Female,5080714
0,PhD,Analyst,San Francisco,33,Female,3150048
8,High School,Software Engineer,Remote,56,Male,2565242
18,PhD,Manager,Remote,37,Female,6611764
10,PhD,HR,Remote,29,Male,3871707
3,Bachelor,Manager,San Francisco,59,Male,3235399
15,High School,Manager,New York,46,Male,5128859
2,PhD,HR,India,46,Male,1336577
15,High School,HR,New York,57,Male,3797383
0,High School,HR,New York,25,Other,1000000
19,Bachelor,Analyst,New York,29,Other,5336958
6,Bachelor,HR,India,24,Male,1000000
11,High School,Analyst,India,43,Other,2039679
13,Master,Manager,San Francisco,51,Other,5542290
7,Master,Software Engineer,Austin,48,Female,3484115
1,Bachelor,Manager,Remote,42,Female,2223442
0,High School,Data Scientist,Remote,26,Other,1159376
15,High School,Data Scientist,India,40,Male,3297984
16,Master,Software Engineer,Austin,49,Male,5289677
13,Bachelor,Manager,Austin,27,Male,4637587
20,PhD,HR,Austin,52,Other,6124034
2,High School,HR,Austin,54,Other,1000000
0,High School,Software Engineer,Austin,24,Male,1202475
17,High School,HR,San Francisco,46,Female,4459632
2,Master,HR,San Francisco,45,Other,2116459
17,Master,Software Engineer,Austin,53,Other,5335229
9,PhD,Manager,New York,23,Male,5488960
16,PhD,Manager,New York,54,Male,6791863
6,Master,Software Engineer,Austin,50,Male,3177183
9,PhD,HR,Remote,47,Other,3580444
12,High School,Data Scientist,New York,28,Other,4175720
3,Bachelor,HR,New York,41,Female,1883088
15,Bachelor,Analyst,San Francisco,35,Male,4948820
11,Master,Manager,New York,44,Female,4956835
18,Bachelor,Software Engineer,New York,46,Female,5509060
16,PhD,HR,San Francisco,27,Male,5785441
4,Bachelor,Software Engineer,Remote,54,Male,1961969
7,Bachelor,Manager,Remote,26,Other,3271039
19,Bachelor,Manager,San Francisco,51,Other,6334877
14,High School,Analyst,New York,56,Female,4186343
12,Bachelor,Software Engineer,Remote,51,Female,3832876
18,Master,Software Engineer,San Francisco,38,Male,6019209
4,Bachelor,Analyst,Austin,47,Female,1950941
20,High School,Manager,Austin,44,Other,5828129
0,PhD,HR,Austin,22,Male,1982259
14,High School,Manager,San Francisco,55,Other,4918065
7,Master,Data Scientist,New York,22,Other,3929539
15,PhD,Manager,Austin,60,Female,6171240
2,High School,Analyst,India,33,Male,1000000
15,Master,Data Scientist,Remote,58,Male,4916062
4,Bachelor,Manager,Remote,51,Male,2468473
13,Master,HR,Austin,26,Other,3757307
15,High School,Manager,India,42,Female,3344048
6,PhD,Manager,Remote,57,Other,4124744
9,Master,HR,San Francisco,26,Male,3425222
3,PhD,Analyst,San Francisco,55,Other,3650181
4,Master,Analyst,India,25,Male,1325593
15,Master,Manager,San Francisco,45,Female,5984406
19,Master,Analyst,Remote,45,Female,5342623
11,Bachelor,HR,Remote,56,Other,2688487
18,Bachelor,Data Scientist,Austin,58,Other,5661131
11,Master,Data Scientist,San Francisco,24,Other,5000142
10,Master,Software Engineer,San Francisco,50,Male,4656063
12,High School,Data Scientist,San Francisco,33,Female,4378099
16,High School,Analyst,Remote,47,Other,3787731
7,Bachelor,Analyst,Remote,50,Female,2391064
3,Bachelor,Software Engineer,New York,32,Male,2634960
3,PhD,Software Engineer,San Francisco,46,Other,3887030
9,PhD,Data Scientist,India,58,Male,3637675
8,High School,Analyst,San Francisco,45,Female,2871233
6,Master,Analyst,India,53,Other,1527943
4,PhD,HR,Remote,33,Male,2705285
2,PhD,Analyst,Austin,51,Male,2906049
16,Master,HR,Remote,41,Other,4097682
18,Bachelor,Manager,Remote,57,Male,5444914
11,Master,Software Engineer,Austin,40,Female,4222896
13,Master,HR,New York,52,Male,4088691
19,Bachelor,Software Engineer,Remote,40,Other,5064675
4,Bachelor,Software Engineer,New York,56,Female,2748572
11,PhD,Manager,India,46,Female,4005935
20,PhD,Data Scientist,San Francisco,44,Female,7576931
15,PhD,HR,New York,60,Other,5348776
6,PhD,Analyst,New York,35,Female,3960275
4,Master,Analyst,Remote,56,Other,2219091
17,Bachelor,Analyst,San Francisco,33,Female,5330381
8,PhD,Analyst,New York,31,Female,4459007
5,Master,Analyst,San Francisco,28,Female,3258273
13,Bachelor,HR,India,34,Male,2099456
1,PhD,HR,India,26,Other,1000000
4,High School,Data Scientist,Remote,59,Male,2065435
6,PhD,Software Engineer,New York,46,Female,4302262
12,PhD,Manager,San Francisco,25,Female,6282650
18,Master,Manager,Remote,60,Female,5654561
9,PhD,Manager,New York,47,Female,5277567
12,High School,HR,New York,34,Female,2962423
17,Bachelor,Data Scientist,New York,49,Male,5709015
7,Bachelor,Software Engineer,New York,60,Other,3397164
0,Bachelor,Software Engineer,San Francisco,24,Female,2199268
16,High School,HR,San Francisco,46,Female,4158887
0,Master,Manager,San Francisco,59,Other,3085881
12,High School,Software Engineer,Austin,53,Male,3621366
12,High School,Manager,India,42,Other,2733193
18,PhD,Analyst,San Francisco,41,Male,6678517
17,Bachelor,Data Scientist,Austin,35,Other,5160277
10,High School,HR,New York,33,Female,2902582
9,PhD,Manager,New York,53,Other,5335672
20,Master,Data Scientist,Remote,29,Female,5889940
3,High School,Analyst,Austin,47,Other,1414755
4,PhD,Software Engineer,Remote,57,Male,3294158
16,Master,HR,India,30,Female,3245042
15,PhD,Analyst,India,50,Female,4192310
12,Master,Software Engineer,New York,56,Female,4824196
1,PhD,Software Engineer,Remote,31,Other,2897665
17,PhD,Manager,New York,26,Female,6942639
0,Master,Software Engineer,Remote,39,Male,1721778
14,Master,Manager,Austin,32,Female,5078687
16,Master,HR,New York,34,Other,4885387
0,Bachelor,Data Scientist,San Francisco,55,Other,2384245
4,PhD,Analyst,India,59,Male,2241152
2,PhD,Analyst,Remote,44,Male,2604994
13,High School,Manager,San Francisco,30,Female,4812284
13,Bachelor,Manager,India,22,Female,3362029
0,PhD,HR,India,53,Female,1000000
1,PhD,HR,Austin,49,Female,1902184
2,PhD,Manager,Austin,33,Female,3623174
0,Bachelor,Data Scientist,San Francisco,26,Female,2293675
14,High School,HR,San Francisco,58,Male,4003925
20,Bachelor,Analyst,Austin,35,Other,5253508
5,Master,Data Scientist,San Francisco,55,Female,3818605
5,Bachelor,Manager,San Francisco,55,Female,3632335
18,High School,HR,San Francisco,55,Female,4755245
19,High School,Data Scientist,India,59,Female,4036607
9,Bachelor,Analyst,New York,38,Male,3439643
4,Master,Analyst,Remote,50,Female,2079662
4,Master,Software Engineer,New York,55,Female,3144446
5,PhD,Data Scientist,New York,23,Female,4462267
15,PhD,Data Scientist,India,32,Other,4605881
18,High School,Software Engineer,San Francisco,44,Other,5386659
7,Master,Data Scientist,San Francisco,25,Male,4056013
2,PhD,HR,India,53,Other,1355509
17,Bachelor,HR,Remote,40,Female,3918064
20,PhD,Manager,India,26,Female,5821971
20,Master,HR,India,27,Male,3819840
0,High School,Software Engineer,San Francisco,26,Female,1606592
1,High School,Software Engineer,San Francisco,35,Male,1930847
12,High School,Software Engineer,New York,48,Female,3880028
10,PhD,HR,Remote,38,Female,3771397
3,High School,Software Engineer,Austin,22,Other,1868150
19,Master,Analyst,New York,36,Other,5772477
14,Bachelor,Manager,India,43,Other,3626872
13,Bachelor,Analyst,New York,45,Other,4171966
1,Bachelor,Software Engineer,Austin,47,Male,1907655
13,High School,Data Scientist,San Francisco,39,Female,4581125
5,Master,Analyst,New York,56,Female,2962876
4,Master,Analyst,Austin,49,Other,2527326
9,PhD,Analyst,New York,60,Other,4543874
11,High School,Analyst,Austin,46,Other,3084563
16,Master,Data Scientist,New York,34,Male,5918714
2,High School,Manager,India,39,Male,1000000
14,Bachelor,Analyst,India,57,Other,3087432
7,PhD,Manager,San Francisco,40,Other,5251453
9,PhD,Analyst,New York,58,Female,4789573
1,Master,Analyst,Austin,27,Female,1819036
4,High School,Software Engineer,Austin,54,Female,2029377
10,PhD,Manager,Remote,51,Other,4722205
8,High School,Analyst,New York,24,Female,2599725
3,Master,Manager,New York,45,Female,3418464
5,High School,HR,Remote,23,Female,1229748
14,High School,Software Engineer,India,27,Female,2764520
16,PhD,Analyst,New York,51,Male,6100091
1,Master,HR,San Francisco,36,Female,1852245
10,PhD,Analyst,New York,29,Male,4974197
4,Bachelor,Software Engineer,Austin,27,Other,2441424
3,High School,HR,Remote,40,Male,1000000
11,Bachelor,Data Scientist,Remote,22,Male,3668522
13,Bachelor,Analyst,Austin,59,Other,3836086
3,Master,Analyst,Remote,34,Female,2076774
10,Bachelor,Analyst,India,24,Male,2035145
9,PhD,Software Engineer,India,26,Other,3309254
9,Bachelor,Data Scientist,Austin,23,Female,3750629
0,Master,HR,Austin,58,Male,1192311
8,Master,Manager,India,38,Other,2742833
5,PhD,Software Engineer,Remote,56,Other,3447619
16,PhD,Manager,Austin,26,Other,6487114
8,PhD,Analyst,Austin,55,Male,4089602
11,Bachelor,HR,Remote,56,Male,2758658
7,PhD,Data Scientist,Austin,32,Other,4434433
8,PhD,Analyst,Remote,58,Other,3801240
20,Bachelor,Analyst,New York,58,Male,5606745
4,Master,Data Scientist,Remote,40,Male,2778977
3,PhD,Data Scientist,San Francisco,46,Female,4357540
12,Bachelor,Data Scientist,Remote,46,Female,3899922
7,Master,HR,Remote,35,Other,2540701
18,High School,Manager,India,59,Female,3717365
0,Master,Analyst,India,46,Male,1000000
16,High School,Software Engineer,Austin,54,Male,4518683
20,High School,Analyst,New York,60,Other,5016041
18,High School,Analyst,San Francisco,27,Other,5066519
7,Master,Data Scientist,New York,36,Female,4006893
14,High School,Manager,Austin,50,Female,4620582
3,PhD,Software Engineer,San Francisco,50,Other,3946767
5,PhD,HR,San Francisco,54,Male,3647007
0,Bachelor,Data Scientist,India,25,Female,1000000
1,Bachelor,Analyst,India,31,Male,1000000
5,Bachelor,Analyst,Austin,34,Female,2346119
14,Master,Data Scientist,Remote,57,Female,4975719
14,Bachelor,Data Scientist,Remote,50,Female,4256637
7,Master,Analyst,Austin,26,Female,2892707
12,Master,Software Engineer,Remote,23,Female,4111447
18,High School,Software Engineer,Remote,57,Other,4386779
4,Master,HR,Austin,41,Other,2078096
10,Master,Data Scientist,Remote,31,Female,3832222
14,High School,HR,New York,47,Other,3481974
13,PhD,Manager,San Francisco,33,Other,6323117
7,Master,Software Engineer,San Francisco,33,Other,3906014
11,Master,Software Engineer,New York,57,Other,4489736
8,High School,Manager,Remote,50,Male,3080184
13,Master,Software Engineer,New York,43,Female,4887259
3,Master,Analyst,San Francisco,44,Male,2800462
0,Bachelor,HR,Austin,36,Other,1000000
8,Master,Software Engineer,Austin,31,Female,3636660
19,Master,Manager,New York,47,Female,6448790
10,High School,Software Engineer,San Francisco,59,Other,3584515
1,PhD,HR,Austin,28,Male,2377012
16,PhD,Data Scientist,Austin,45,Other,6168153
6,High School,Analyst,Austin,27,Other,2078170
17,Master,HR,Remote,42,Other,4440588
16,Master,Data Scientist,San Francisco,28,Female,5946297
19,High School,HR,India,43,Female,2992944
7,Bachelor,Data Scientist,Remote,28,Other,2882244
18,Master,Analyst,New York,40,Male,5664928
16,High School,Data Scientist,Austin,50,Female,4906992
17,High School,Data Scientist,San Francisco,22,Other,5239290
13,Bachelor,Analyst,Remote,23,Female,3496533
5,PhD,HR,San Francisco,25,Female,3829603
0,High School,Analyst,India,29,Female,1000000
13,Master,Data Scientist,Austin,55,Male,4772219
0,PhD,Analyst,San Francisco,44,Female,3024319
2,High School,Manager,India,45,Other,1000000
7,Master,Data Scientist,Remote,58,Female,3400047
14,Bachelor,Data Scientist,Remote,29,Male,4244675
1,Bachelor,HR,New York,56,Male,1431386
13,Master,Software Engineer,San Francisco,37,Other,5055959
3,Bachelor,Data Scientist,India,58,Male,1122420
15,Bachelor,Software Engineer,Austin,39,Male,4544247
6,High School,Manager,San Francisco,31,Male,3183023
1,Master,Software Engineer,New York,22,Other,2726468
14,High School,Software Engineer,New York,26,Female,4225850
1,Bachelor,HR,Austin,24,Male,1000000
11,Bachelor,Manager,New York,41,Male,4421958
8,PhD,HR,New York,55,Other,4125479
20,High School,Analyst,Remote,56,Female,4747182
16,High School,Analyst,India,38,Male,2846905
13,High School,HR,Austin,30,Female,3265523
6,High School,Data Scientist,Remote,30,Female,2417225
10,PhD,Data Scientist,Remote,25,Other,4860302
5,PhD,Data Scientist,New York,39,Female,4465142
20,Bachelor,Data Scientist,San Francisco,57,Female,6274037
4,Master,Analyst,India,46,Other,1249665
5,Master,Analyst,India,33,Other,1475602
11,PhD,Data Scientist,New York,28,Other,5648269
9,Bachelor,Analyst,Remote,38,Male,2665913
13,PhD,Manager,Remote,23,Female,5422043
10,PhD,Data Scientist,Austin,22,Female,5068676
20,Master,Manager,Austin,32,Male,6374462
7,PhD,Data Scientist,New York,32,Male,4884131
6,High School,Analyst,New York,56,Other,2361623
1,Master,Software Engineer,India,45,Male,1000000
0,Master,Data Scientist,Remote,57,Female,1967903
14,PhD,Data Scientist,Austin,41,Other,5878355
16,Master,Manager,New York,55,Other,5921939
8,Bachelor,Software Engineer,Remote,47,Male,2738065
7,High School,Manager,India,38,Female,1714914
0,High School,Manager,India,46,Male,1000000
6,PhD,HR,India,56,Other,2110123
2,High School,HR,Austin,58,Male,1000000
16,Bachelor,Manager,Austin,38,Female,5190554
9,Master,Data Scientist,San Francisco,33,Male,4656456
7,PhD,Data Scientist,San Francisco,52,Other,4961960
20,High School,Data Scientist,India,38,Male,4278626
5,PhD,Analyst,Remote,29,Female,3356220
17,Bachelor,Manager,Austin,46,Other,5585484
8,Master,HR,India,47,Male,1652864
14,High School,Software Engineer,San Francisco,53,Other,4592961
20,High School,Data Scientist,Austin,43,Female,5470768
6,PhD,Analyst,India,35,Female,2485752
18,PhD,Manager,San Francisco,29,Other,7291274
17,High School,Manager,Remote,44,Male,4815688
19,Master,HR,Remote,60,Other,4829164
2,Master,Data Scientist,San Francisco,39,Female,3369106
13,High School,Data Scientist,San Francisco,52,Female,4584006
2,Bachelor,Software Engineer,Austin,55,Female,2057965
11,Master,Data Scientist,New York,60,Female,4851331
14,PhD,Software Engineer,San Francisco,25,Female,6084942
17,Bachelor,HR,India,54,Other,3054354
15,Master,Data Scientist,Remote,23,Other,5021339
2,High School,Analyst,New York,60,Female,1654701
13,High School,Manager,India,50,Female,2898272
20,PhD,Analyst,Austin,37,Male,6690934
11,PhD,Data Scientist,Austin,31,Male,5223369
19,PhD,Manager,New York,26,Female,7283547
0,High School,Software Engineer,Remote,51,Other,1000000
17,PhD,HR,New York,25,Female,5736533
17,Master,Manager,San Francisco,58,Female,6346532
16,Bachelor,Data Scientist,India,45,Other,3773421
3,High School,HR,India,33,Male,1000000
6,Master,Manager,San Francisco,45,Male,3996748
10,High School,Software Engineer,Austin,34,Male,3235082
20,Bachelor,HR,San Francisco,31,Other,5284059
10,High School,Software Engineer,Remote,55,Female,2908414
2,PhD,HR,India,27,Female,1139596
4,Master,Software Engineer,Remote,26,Male,2425083
8,PhD,Analyst,Austin,56,Female,4207148
19,High School,Manager,India,56,Male,4229590
2,Master,Analyst,Remote,53,Male,1954853
2,High School,Manager,Austin,59,Male,2187827
8,High School,HR,India,25,Other,1000000
13,PhD,Analyst,India,58,Other,3788722
8,High School,Analyst,India,24,Other,1211230
1,Bachelor,Manager,India,33,Female,1000000
4,Bachelor,Data Scientist,Remote,32,Male,2331243
1,Master,Data Scientist,India,45,Other,1126455
17,Bachelor,Data Scientist,San Francisco,27,Other,5760212
4,PhD,Analyst,India,34,Other,2140749
2,Bachelor,Manager,Austin,55,Female,2453589
7,PhD,Analyst,Austin,48,Other,3990941
18,High School,Manager,New York,37,Female,5613797
7,High School,HR,Remote,49,Female,1632048
20,Master,HR,San Francisco,57,Female,5800727
5,High School,HR,San Francisco,28,Female,2054020
9,Master,Analyst,San Francisco,31,Other,4040525
10,High School,Manager,India,51,Female,2506730
11,Master,Software Engineer,India,60,Male,2984310
1,PhD,HR,Austin,53,Male,2225174
8,Master,Manager,San Francisco,38,Male,4490511
7,Master,Analyst,San Francisco,52,Male,3627881
18,Bachelor,Software Engineer,New York,51,Female,5568972
6,High School,HR,India,31,Other,1000000
14,High School,Manager,India,51,Male,3126365
4,PhD,Software Engineer,San Francisco,50,Male,4094446
3,Bachelor,Analyst,New York,25,Female,2299179
16,Master,Software Engineer,Remote,33,Other,4963296
0,Master,Analyst,San Francisco,43,Other,2179988
17,Bachelor,Manager,Remote,35,Male,5094108
11,Master,HR,Remote,28,Female,3187721
10,Master,Analyst,India,54,Other,2436897
18,PhD,Software Engineer,San Francisco,32,Other,6746476
1,Bachelor,Manager,New York,55,Other,2427014
10,PhD,Manager,India,53,Male,3932226
1,High School,Manager,New York,35,Male,2101570
2,Master,Analyst,India,38,Male,1000000
11,PhD,Data Scientist,San Francisco,49,Female,5793084
4,Master,Data Scientist,Remote,41,Male,2774330
5,PhD,HR,Austin,40,Male,3139788
14,PhD,Data Scientist,Austin,55,Male,5829344
2,High School,Manager,New York,46,Other,2400242
11,Master,Software Engineer,San Francisco,37,Male,4922083
7,Master,Analyst,San Francisco,46,Other,3684272
14,PhD,Analyst,India,48,Male,4095675
13,High School,Data Scientist,Austin,28,Male,3955564
20,Bachelor,HR,India,45,Other,3582324
2,PhD,Data Scientist,Austin,41,Male,3441027
13,Master,Data Scientist,New York,28,Male,5294011
16,PhD,HR,Remote,41,Male,4814173
20,High School,Analyst,India,23,Other,3618391
7,High School,HR,India,32,Male,1000000
17,Bachelor,Manager,Remote,52,Male,5111494
5,Master,Software Engineer,India,53,Female,1871515
5,Bachelor,Data Scientist,India,29,Female,1624208
10,High School,HR,India,43,Other,1087940
11,High School,Analyst,Remote,53,Male,2893671
14,PhD,Manager,Austin,37,Other,5902750
0,High School,Manager,New York,31,Female,1941031
7,Bachelor,Data Scientist,India,53,Other,2052314
0,Master,Software Engineer,New York,34,Female,2359158
19,Master,Software Engineer,Remote,47,Other,5449838
6,PhD,Software Engineer,San Francisco,47,Male,4521890
13,PhD,Data Scientist,Austin,36,Male,5600654
16,High School,Software Engineer,New York,32,Female,4705502
2,Master,HR,Remote,27,Other,1520169
8,PhD,Manager,New York,33,Other,5288314
7,Bachelor,Manager,Austin,29,Male,3539519
14,Master,Manager,New York,28,Female,5613517
10,PhD,Analyst,Remote,41,Female,4465588
2,Master,Software Engineer,Remote,35,Other,2267223
10,PhD,Manager,India,39,Female,3846843
20,High School,Analyst,New York,53,Female,5197071
18,Bachelor,HR,Austin,39,Female,4500599
2,High School,Data Scientist,Austin,49,Other,1650259
9,Master,Manager,Remote,56,Other,3908769
14,PhD,Software Engineer,Remote,54,Female,5208804
6,PhD,Data Scientist,Austin,33,Other,4363125
4,PhD,Manager,New York,25,Male,4322526
11,PhD,Manager,India,41,Other,4460486
18,Bachelor,Data Scientist,San Francisco,53,Other,5984740
8,PhD,Data Scientist,San Francisco,57,Male,5141715
3,Bachelor,Manager,Austin,23,Female,2612684
14,High School,HR,San Francisco,55,Other,3809978
18,PhD,Manager,Austin,33,Female,6963354
2,High School,HR,San Francisco,39,Other,1487680
2,Master,Analyst,Austin,47,Other,2227701
7,Master,Software Engineer,New York,57,Male,3782380
12,Bachelor,Analyst,India,35,Female,2420852
6,High School,Manager,Austin,46,Other,2781427
16,PhD,Software Engineer,India,46,Female,4777552
1,PhD,Software Engineer,New York,56,Male,3220532
7,High School,Analyst,San Francisco,33,Other,2966082
3,PhD,Data Scientist,Austin,44,Other,3494411
2,Master,Data Scientist,India,35,Other,1322761
15,Master,Manager,San Francisco,31,Other,6145103
8,Bachelor,Manager,India,22,Male,2291003
4,High School,Software Engineer,San Francisco,41,Male,2608776
19,PhD,Data Scientist,Austin,49,Other,6861515
10,Master,Analyst,India,58,Male,2500381
16,High School,Data Scientist,Austin,49,Female,4434613
14,PhD,HR,Remote,36,Female,4708400
19,High School,Software Engineer,Austin,35,Other,5280779
1,High School,Analyst,Remote,30,Other,1000000
0,Master,Software Engineer,India,56,Other,1000000
5,Bachelor,Software Engineer,Remote,58,Other,2331001
16,High School,Data Scientist,India,35,Male,3394839
11,Master,Software Engineer,San Francisco,41,Female,4841632
14,Bachelor,Manager,India,44,Female,3584648
11,High School,Manager,San Francisco,59,Other,4460818
9,Master,Software Engineer,Austin,29,Other,3746010
17,High School,HR,San Francisco,42,Other,4377656
5,Bachelor,Software Engineer,India,26,Other,1284929
14,Master,HR,New York,43,Male,4430519
10,High School,Data Scientist,India,31,Female,2028103
17,Bachelor,HR,Remote,39,Other,4046296
7,High School,Analyst,India,33,Female,1080762
7,Master,Analyst,San Francisco,46,Other,3760552
18,PhD,Manager,Remote,52,Male,6668703
15,High School,Software Engineer,Remote,35,Female,4113343
1,PhD,Analyst,San Francisco,27,Female,3135366
8,Bachelor,Manager,Austin,54,Other,3750514
8,Master,Analyst,San Francisco,34,Female,3824762
