YearsExperience,Education,JobRole,OrgSize,Location,Salary,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
0.0,High School,Front-end Developer,100 to 499 employees,Vietnam,18400000,Monthly,VND,CoffeeScript; JavaScript; Rust,22,Male
7.0,Bachelor,Front-end Developer,"1,000 to 4,999 employees",Vietnam,23000000,Monthly,VND,C#,29,Male
2.0,Bachelor,Mobile Developer,10 to 19 employees,Vietnam,27600000,Monthly,VND,C++; Objective-C; Swift,24,Other
10.0,Bachelor,DevOps,10 to 19 employees,Vietnam,76666667,Monthly,VND,None,32,Other
12.0,Bachelor,Data Scientist,20 to 99 employees,Vietnam,34500000,Monthly,VND,Clojure; Java; JavaScript; Python; Scala; SQL,34,Male
4.0,Bachelor,Front-end Developer,20 to 99 employees,Vietnam,69000000,Monthly,VND,JavaScript; Ruby,26,Male
2.0,High School,Front-end Developer,100 to 499 employees,Vietnam,23000000,Monthly,VND,C; C#; Java; JavaScript,24,Male
4.0,Bachelor,Front-end Developer,20 to 99 employees,Vietnam,14950000,Monthly,VND,JavaScript; PHP; SQL,26,Female
14.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,30000000,Monthly,VND,Java;JavaScript,39,Male
5.0,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,17000000,Monthly,VND,Java;Objective-C,27,Other
3.0,Bachelor,Data Scientist,"1,000 to 4,999 employees",Viet Nam,21000000,Monthly,VND,C;C++;Java;JavaScript;Python;Ruby;HTML;CSS,22,Male
7.0,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,39100000,Monthly,VND,C++;Java,29,Male
3.0,Master,Embedded Engineer,20 to 99 employees,Viet Nam,18500000,Monthly,VND,C;Bash/Shell,31,Male
7.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,13800000,Monthly,VND,CoffeeScript;JavaScript;Ruby;SQL;Cobol;HTML;CSS,26,Male
2.0,Bachelor,Front-end Developer,"10,000 or more employees",Viet Nam,18000000,Monthly,VND,C#;JavaScript;HTML;CSS,33,Male
7.0,High School,Front-end Developer,10 to 19 employees,Viet Nam,13000000,Monthly,VND,JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,27,Male
8.0,High School,Back-end Developer,10 to 19 employees,Viet Nam,24083333,Monthly,VND,C#;JavaScript;SQL;TypeScript;HTML;CSS,30,Male
1.0,Bachelor,Data Scientist,10 to 19 employees,Viet Nam,13800000,Monthly,VND,PHP;Python;Ruby;HTML,28,Male
2.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,16500000,Monthly,VND,Java;JavaScript;PHP;Python;SQL;HTML;CSS,23,Male
8.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,21083333,Monthly,VND,CoffeeScript;Go;Ruby;Swift,29,Male
5.0,Bachelor,Back-end Developer,"10,000 or more employees",Viet Nam,25000000,Monthly,VND,JavaScript;HTML;CSS,33,Male
3.0,High School,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,16900000,Monthly,VND,C++;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,23,Male
3.0,Bachelor,Mobile Developer,"10,000 or more employees",Viet Nam,20000000,Monthly,VND,Java;SQL;Swift;Kotlin,30,Male
5.0,Bachelor,Front-end Developer,10 to 19 employees,Viet Nam,14490000,Monthly,VND,Java;JavaScript;SQL;Kotlin,26,Male
15.0,Master,Back-end Developer,500 to 999 employees,Viet Nam,46000000,Monthly,VND,Python,40,Male
6.0,Bachelor,Full-stack Developer,"1,000 to 4,999 employees",Viet Nam,18000000,Monthly,VND,Java;JavaScript;SQL;HTML;CSS,38,Male
14.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,34500000,Monthly,VND,Java;JavaScript;PHP;HTML;CSS,40,Male
8.0,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,57500000,Monthly,VND,Go;Objective-C;Python;Swift,29,Male
6.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,40000000,Monthly,VND,CoffeeScript;Java;JavaScript;Ruby;SQL,33,Male
12.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,48000000,Monthly,VND,Java;JavaScript;Ruby;SQL;HTML,30,Male
6.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,13800000,Monthly,VND,C#;Java;JavaScript;Objective-C;Swift;Kotlin;HTML,30,Male
6.0,Bachelor,Front-end Developer,"1,000 to 4,999 employees",Viet Nam,17250000,Monthly,VND,JavaScript;PHP;Python;HTML;CSS;Bash/Shell,34,Male
8.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,15000000,Monthly,VND,C#;JavaScript,26,Male
9.0,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,40000000,Monthly,VND,C#;JavaScript;SQL;HTML;CSS,31,Male
7.0,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,14000000,Monthly,VND,C#;Java;SQL,29,Other
12.0,High School,Back-end Developer,100 to 499 employees,Viet Nam,82800000,Monthly,VND,Assembly;C;C++;C#;Java;JavaScript;Objective-C;Python;Ruby;SQL;TypeScript;VBA;VB.NET;Visual Basic 6,34,Male
6.0,Bachelor,Data Scientist,500 to 999 employees,Viet Nam,15000000,Monthly,VND,C;C++;Java;JavaScript;Matlab;PHP;SQL;HTML;CSS;Bash/Shell,22,Male
0.0,High School,Back-end Developer,20 to 99 employees,Viet Nam,22000000,Monthly,VND,Go;Java;JavaScript;Python;HTML;CSS,18,Male
5.0,High School,Back-end Developer,10 to 19 employees,Viet Nam,17000000,Monthly,VND,Java;JavaScript;Matlab;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,23,Male
6.0,High School,Back-end Developer,20 to 99 employees,Viet Nam,19000000,Monthly,VND,Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,32,Male
2.0,Bachelor,Mobile Developer,20 to 99 employees,Viet Nam,12000000,Monthly,VND,JavaScript;Python;TypeScript;HTML;CSS,19,Male
4.0,High School,Mobile Developer,10 to 19 employees,Viet Nam,8000000,Monthly,VND,C;C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,20,Male
8.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,28750000,Monthly,VND,Java;Python;Kotlin,29,Male
8.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,25000000,Monthly,VND,C#;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,30,Male
3.0,Bachelor,Front-end Developer,10 to 19 employees,Viet Nam,17000000,Monthly,VND,C;C++;C#,30,Male
0.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,12000000,Monthly,VND,C#;JavaScript;Ruby;SQL;HTML;CSS,24,Other
12.0,Master,Back-end Developer,20 to 99 employees,Viet Nam,46000000,Monthly,VND,C#;Java;Python;SQL,31,Male
8.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,27600000,Monthly,VND,JavaScript;TypeScript;HTML;CSS,27,Male
3.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,10000000,Monthly,VND,C#;JavaScript;HTML;CSS,34,Male
4.0,Bachelor,Mobile Developer,20 to 99 employees,Viet Nam,16100000,Monthly,VND,JavaScript;PHP;SQL;HTML;CSS,28,Male
5.0,High School,Back-end Developer,20 to 99 employees,Viet Nam,70000000,Monthly,VND,Go;Java;Lua;Perl;Python;Bash/Shell,26,Male
5.0,Master,Back-end Developer,10 to 19 employees,Viet Nam,29000000,Monthly,VND,JavaScript;PHP;SQL;VB.NET;HTML;CSS;Bash/Shell,27,Male
8.0,Bachelor,DevOps,"10,000 or more employees",Viet Nam,34500000,Monthly,VND,Objective-C,30,Other
3.0,High School,Back-end Developer,10 to 19 employees,Viet Nam,9200000,Monthly,VND,JavaScript;HTML;CSS,22,Male
6.0,Bachelor,Mobile Developer,20 to 99 employees,Viet Nam,19000000,Monthly,VND,Java;JavaScript;Objective-C;PHP;Swift;TypeScript;HTML;CSS,27,Male
2.0,Master,Back-end Developer,100 to 499 employees,Viet Nam,10000000,Monthly,VND,Java;HTML;CSS,24,Other
3.0,Bachelor,Data Scientist,10 to 19 employees,Viet Nam,25060000,Monthly,VND,None,25,Other
7.0,High School,Front-end Developer,"1,000 to 4,999 employees",Viet Nam,23000000,Monthly,VND,Java;JavaScript;SQL;HTML,30,Male
5.0,Bachelor,Front-end Developer,"10,000 or more employees",Viet Nam,11500000,Monthly,VND,C++;C#;JavaScript;SQL;VB.NET;HTML;CSS,27,Other
0.0,High School,Back-end Developer,10 to 19 employees,Viet Nam,6000000,Monthly,VND,Java;JavaScript;Objective-C;PHP;SQL;HTML;CSS,23,Male
8.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,39000000,Monthly,VND,Java;Python;R,32,Male
1.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,10350000,Monthly,VND,Java;JavaScript;SQL;TypeScript;HTML;CSS,23,Other
6.0,High School,Data Scientist,100 to 499 employees,Viet Nam,41400000,Monthly,VND,JavaScript,32,Male
2.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,15000000,Monthly,VND,None,24,Other
30.0,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,74000000,Monthly,VND,C#,54,Male
0.0,High School,Front-end Developer,20 to 99 employees,Viet Nam,11500000,Monthly,VND,Java;JavaScript;PHP;SQL;HTML;CSS,23,Male
8.0,Bachelor,Back-end Developer,"5,000 to 9,999 employees",Viet Nam,30000000,Monthly,VND,None,30,Other
8.0,Bachelor,Mobile Developer,20 to 99 employees,Viet Nam,14950000,Monthly,VND,None,30,Other
3.0,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,32000000,Monthly,VND,Java;SQL;Bash/Shell,30,Male
4.0,Bachelor,Front-end Developer,10 to 19 employees,Viet Nam,10000000,Monthly,VND,C#;JavaScript;SQL;TypeScript;HTML;CSS,22,Male
9.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,20000000,Monthly,VND,C#;JavaScript;PHP;Python;HTML;CSS,28,Male
12.0,Bachelor,Embedded Engineer,100 to 499 employees,Viet Nam,34500000,Monthly,VND,C#;JavaScript;Matlab;Objective-C;PHP;SQL;HTML;CSS;Bash/Shell,29,Male
3.0,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,20000000,Monthly,VND,JavaScript;Swift,25,Male
3.0,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,14000000,Monthly,VND,C#;Java;JavaScript;Python;R;HTML;CSS;Bash/Shell,23,Male
11.0,PhD,Data Scientist,20 to 99 employees,Viet Nam,69000000,Monthly,VND,Assembly;C;Objective-C,50,Male
6.0,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,36800000,Monthly,VND,C#;Java;JavaScript;SQL;HTML;CSS,31,Male
2.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,12000000,Monthly,VND,C#;JavaScript,23,Male
14.0,Bachelor,Mobile Developer,10 to 19 employees,Viet Nam,69000000,Monthly,VND,C;C++;C#;Java;JavaScript;Perl;PHP;SQL;HTML;CSS,43,Male
5.0,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,25000000,Monthly,VND,C;C#;Java;Matlab;Objective-C;HTML,27,Male
5.0,High School,Front-end Developer,100 to 499 employees,Viet Nam,23000000,Monthly,VND,Java;JavaScript;PHP;HTML;CSS;Bash/Shell,27,Male
10.0,High School,Back-end Developer,100 to 499 employees,Viet Nam,35000000,Monthly,VND,Clojure;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,43,Female
2.0,High School,Back-end Developer,100 to 499 employees,Viet Nam,6900000,Monthly,VND,None,24,Other
11.0,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,85000000,Monthly,VND,HTML/CSS;JavaScript;PHP,35,Male
15.0,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,30000000,Monthly,VND,Java;JavaScript,37,Male
7.0,Bachelor,Data Scientist,20 to 99 employees,Viet Nam,28000000,Monthly,VND,Bash/Shell/PowerShell;C++;C#;JavaScript;Python;Swift,29,Male
7.0,Bachelor,Mobile Developer,10 to 19 employees,Viet Nam,27846000,Monthly,VND,Dart;JavaScript;TypeScript,26,Male
9.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,28000000,Monthly,VND,Go;PHP;SQL,25,Male
3.0,High School,Front-end Developer,100 to 499 employees,Viet Nam,12000000,Monthly,VND,C#;HTML/CSS;JavaScript;PHP,26,Male
3.0,Bachelor,Embedded Engineer,500 to 999 employees,Viet Nam,10000000,Monthly,VND,Bash/Shell/PowerShell;C;Python;VBA,24,Male
10.0,Master,Back-end Developer,100 to 499 employees,Viet Nam,30000000,Monthly,VND,Assembly;C#;HTML/CSS;JavaScript;SQL;TypeScript;VBA,36,Male
5.0,Bachelor,Front-end Developer,100 to 499 employees,Viet Nam,14000000,Monthly,VND,HTML/CSS;JavaScript,25,Male
5.0,Master,Embedded Engineer,"10,000 or more employees",Viet Nam,58333333,Monthly,VND,Assembly;Go;HTML/CSS;Java;JavaScript;PHP;WebAssembly,26,Male
4.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,16800000,Monthly,VND,C#;HTML/CSS;JavaScript;SQL;TypeScript,23,Male
6.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,10350000,Monthly,VND,C;C++;C#;Dart;Java;JavaScript;TypeScript,25,Male
6.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,13000000,Monthly,VND,PHP,25,Male
7.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,12650000,Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,29,Male
5.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,15000000,Monthly,VND,C#;HTML/CSS;JavaScript;PHP;Python;SQL,23,Male
9.0,High School,Back-end Developer,20 to 99 employees,Viet Nam,15000000,Monthly,VND,C#;HTML/CSS;JavaScript;SQL,27,Male
7.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,11500000,Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,29,Male
10.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,60000000,Monthly,VND,Bash/Shell/PowerShell;C;Dart;Go;HTML/CSS;Java;JavaScript;PHP;SQL,32,Male
2.0,High School,Back-end Developer,2-9 employees,Viet Nam,20000000,Monthly,VND,HTML/CSS;JavaScript;PHP;SQL,24,Male
19.0,High School,Mobile Developer,20 to 99 employees,Viet Nam,22361111,Monthly,VND,Go;HTML/CSS;JavaScript;Python;SQL,40,Male
5.0,Master,Back-end Developer,100 to 499 employees,Viet Nam,15000000,Monthly,VND,HTML/CSS;JavaScript;PHP;TypeScript,26,Male
12.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,16000000,Monthly,VND,C#;HTML/CSS;Java;JavaScript;SQL;Swift,36,Male
12.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,27000000,Monthly,VND,C;C++;Java,33,Male
7.0,High School,Back-end Developer,10 to 19 employees,Viet Nam,19000000,Monthly,VND,C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,25,Male
5.0,Master,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,15000000,Monthly,VND,C++;HTML/CSS;Java;JavaScript;Python;SQL,24,Male
3.0,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,8000000,Monthly,VND,HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL,24,Male
3.0,High School,Back-end Developer,20 to 99 employees,Viet Nam,34500000,Monthly,VND,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Ruby;SQL,28,Male
15.0,Master,Full-stack Developer,10 to 19 employees,Viet Nam,46000000,Monthly,VND,Go;Python;SQL,36,Male
6.0,Master,Back-end Developer,20 to 99 employees,Viet Nam,46000000,Monthly,VND,C#;HTML/CSS;JavaScript;Objective-C;SQL;TypeScript,28,Male
7.0,Master,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,50000000,Monthly,VND,C++;Go;Java;PHP,25,Male
5.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,10000000,Monthly,VND,C#;HTML/CSS;Python,25,Male
10.0,High School,Front-end Developer,"10,000 or more employees",Viet Nam,23000000,Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Ruby;SQL,27,Male
7.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,34500000,Monthly,VND,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Ruby;Scala;SQL;Other(s):,24,Male
11.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,86000000,Monthly,VND,HTML/CSS;JavaScript;PHP;TypeScript,33,Male
10.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,50000000,Monthly,VND,Bash/Shell/PowerShell;Java;JavaScript,35,Male
10.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,70000000,Monthly,VND,Go;Objective-C;Swift,29,Male
10.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,35000000,Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;Java;PHP,30,Male
7.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,18000000,Monthly,VND,C++;Java;JavaScript,27,Male
7.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,28000000,Monthly,VND,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;Python;SQL;Swift,26,Male
5.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,23000000,Monthly,VND,C++;JavaScript;Objective-C;Python;SQL;Swift,24,Male
10.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,45000000,Monthly,VND,C#;HTML/CSS;JavaScript;SQL;TypeScript,29,Male
3.0,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,18000000,Monthly,VND,HTML/CSS;JavaScript;PHP;Python,21,Male
5.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,15000000,Monthly,VND,Java;JavaScript,23,Male
6.0,Bachelor,Back-end Developer,"10,000 or more employees",Viet Nam,28000000,Monthly,VND,C;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby,29,Male
10.0,Bachelor,DevOps,500 to 999 employees,Viet Nam,22000000,Monthly,VND,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,40,Male
5.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,15000000,Monthly,VND,HTML/CSS;JavaScript;Ruby;SQL,25,Male
3.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,18400000,Monthly,VND,HTML/CSS;Java;JavaScript;TypeScript,25,Male
8.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,56000000,Monthly,VND,C#;Java,28,Male
9.0,High School,DevOps,100 to 499 employees,Viet Nam,28000000,Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;TypeScript;Other(s):,26,Male
2.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,30000000,Monthly,VND,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript,34,Male
3.0,Master,Mobile Developer,20 to 99 employees,Viet Nam,11500000,Monthly,VND,Bash/Shell/PowerShell;Other(s):,26,Male
5.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,30000000,Monthly,VND,HTML/CSS;JavaScript;PHP;TypeScript,28,Male
4.0,Bachelor,Full-stack Developer,500 to 999 employees,Viet Nam,23000000,Monthly,VND,C;C++;HTML/CSS;Java;JavaScript;Ruby;Swift;TypeScript,23,Male
8.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,15000000,Monthly,VND,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;SQL,28,Male
2.0,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,18000000,Monthly,VND,C#;HTML/CSS;JavaScript;SQL;TypeScript,24,Male
9.0,Master,Back-end Developer,10 to 19 employees,Viet Nam,80500000,Monthly,VND,HTML/CSS;JavaScript;Python;Ruby;SQL,31,Male
5.0,Bachelor,Data Scientist,2-9 employees,Viet Nam,16000000,Monthly,VND,C#;HTML/CSS;JavaScript;SQL,24,Male
10.0,Master,Back-end Developer,100 to 499 employees,Viet Nam,30416667,Monthly,VND,C#;HTML/CSS;JavaScript;SQL,31,Male
9.0,Bachelor,Data Scientist,100 to 499 employees,Viet Nam,27600000,Monthly,VND,HTML/CSS;JavaScript;TypeScript,27,Male
10.0,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,25000000,Monthly,VND,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,32,Other
2.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,10000000,Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;R,23,Male
7.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,46000000,Monthly,VND,Java;Kotlin;Python,27,Male
13.0,Bachelor,Full-stack Developer,2-9 employees,Viet Nam,25000000,Monthly,VND,C#;HTML/CSS;JavaScript;Objective-C;PHP;SQL;Swift,33,Male
3.0,High School,Back-end Developer,20 to 99 employees,Viet Nam,20000000,Monthly,VND,C;Clojure;Go;HTML/CSS;JavaScript;Python;Ruby;SQL,22,Male
4.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,22000000,Monthly,VND,C#;HTML/CSS;JavaScript,28,Male
5.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,23000000,Monthly,VND,C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,28,Male
6.0,Bachelor,Data Scientist,20 to 99 employees,Viet Nam,18500000,Monthly,VND,C++;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Other(s):,25,Female
4.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,9000000,Monthly,VND,HTML/CSS;JavaScript;Ruby,23,Male
4.0,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,10000000,Monthly,VND,HTML/CSS;Java;JavaScript,22,Male
4.0,Bachelor,Back-end Developer,"10,000 or more employees",Viet Nam,25000000,Monthly,VND,C#;JavaScript;TypeScript,24,Male
4.0,Master,Mobile Developer,"1,000 to 4,999 employees",Viet Nam,30000000,Monthly,VND,HTML/CSS;R,28,Female
3.0,High School,Full-stack Developer,"1,000 to 4,999 employees",Viet Nam,11000000,Monthly,VND,Python;SQL,24,Male
8.0,Bachelor,DevOps,10 to 19 employees,Viet Nam,34500000,Monthly,VND,HTML/CSS;JavaScript;PHP;Other(s):,33,Male
5.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,14000000,Monthly,VND,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript,25,Male
9.0,High School,Back-end Developer,10 to 19 employees,Viet Nam,17296000,Monthly,VND,HTML/CSS;JavaScript;PHP;SQL,29,Other
9.0,Bachelor,Embedded Engineer,"10,000 or more employees",Viet Nam,20500000,Monthly,VND,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,28,Male
15.0,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,50000000,Monthly,VND,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;TypeScript;VBA,34,Male
3.0,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,26000000,Monthly,VND,C#;HTML/CSS;SQL,30,Male
12.0,High School,Full-stack Developer,20 to 99 employees,Viet Nam,18000000,Monthly,VND,C#;HTML/CSS;JavaScript;PHP;SQL,28,Male
3.0,Bachelor,Full-stack Developer,10 to 19 employees,Viet Nam,55000000,Monthly,VND,C#;SQL,25,Male
4.0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,13000000,Monthly,VND,C#;HTML/CSS;JavaScript;PHP;SQL,25,Male
5.0,Bachelor,Front-end Developer,100 to 499 employees,Viet Nam,19000000,Monthly,VND,HTML/CSS;JavaScript;PHP;Python,25,Male
8.0,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,29900000,Monthly,VND,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,29,Male
9.0,High School,DevOps,100 to 499 employees,Viet Nam,23000000,Monthly,VND,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,31,Male
12.0,Bachelor,Full-stack Developer,500 to 999 employees,Viet Nam,60000000,Monthly,VND,HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,38,Male
7.0,High School,Back-end Developer,20 to 99 employees,Viet Nam,18000000,Monthly,VND,JavaScript;Kotlin,24,Male
